see|0:1,12,40,244;1:178,215,335,410,479,561,692,786,848,914,974,985,990,991,1072,1194,1287,1323,1414,1484,1587,1722,1806,1811,1887,1891,1892,2058,2204,2234,2245,2246,2247,2247,2370,2426;
discuss|0:1;1:1913,2025,2236,2397,2578;
stat|0:1,359;1:262;
author|0:1,8;1:18,19,25,29,32,34,35,37,1907;
profil|0:1,12;1:1961;
public|0:1,1,11,231,359;1:1951,1960,1963,2276,2284,2431,2729;
http|0:1;
researchg|0:1;
net|0:1,357;
317101504|0:1;
comput|0:2,19,23,24,26,27,28,32,49,50,52,53,54,56,57,60,61,62,63,64,66,75,77,80,82,82,90,93,94,95,97,98,101,103,104,107,127,147,152,222,224,237,237,238,321,343,346,350,352;1:165,1527;
network|0:2,19,23,25,26,28,32,33,42,44,44,47,49,52,52,57,60,64,65,66,68,71,71,72,73,74,79,80,83,88,89,90,92,94,95,99,100,101,107,108,111,112,113,115,116,117,118,119,146,152,181,185,187,189,197,198,200,201,207,210,211,213,214,215,218,224,226,227,228,232,236,246,276,289,295,296,298,302,307,311,312,319,322,325,327,343,347,349,351,352,354;1:1883;
survey|0:2,19;
articl|0:3,41;1:1310,1963,2262;
septemb|0:3,347;
2015|0:3,17,86,167,242,335,351;
citat|0:4,11;
4|0:5,67,83,99,111,156,157,269,270,348;
read|0:6;1:4,576,999,1061,1068,1071,1310,1429,1429,1941,2259,2509,2544,2564,2565,2569,2636;
50|0:7;1:629;
284|0:7;
1|0:8,65,133,278,279,287,338,351;1:694,694,694,744,745,997,998,1048,1055,1365,2733;
deepa|0:9,13,20;
balasubramaniam|0:9,13;
sri|0:10,22;
krishna|0:10,22;
art|0:10,22;1:562,882,1409,1414;
scienc|0:10,22;
colleg|0:10,22,22;1:2152,2159,2177,2178,2261;
coimbator|0:10,22;
16|0:11,351;
36|0:11;
content|0:13;1:449,975,1576,2171,2693;
follow|0:13,101,271;1:277,315,431,932,1433,1472,1507;
page|0:13;1:3,11,181,308,416,801,2170;
upload|0:13;
25|0:13;
may|0:13,131,212,356;1:206,245,315,378,591,599,819,1021,1147,1233,1552,1610,1744,1745,1811,2014,2045,2131,2315,2337,2349,2349,2353,2420,2427,2469,2561,2569;
2017|0:13;
user|0:14,239;
request|0:14;1:1609,1684,1757,1761,2609,2611;
enhanc|0:14;
download|0:14;
file|0:14,79,91;1:309,1757,2676;
intern|0:15,84,165,240,292,333;1:1342,2135;
journal|0:15,84,165,240,333;1:104,744,1946,1948,2261;
trend|0:15,84,165,240,333;1:932;
research|0:15,84,165,240,333;1:2114,2323;
develop|0:15,84,165,240,265,333;1:572,877,1317,1892,2450,2485;
volum|0:15,84,165,240,333;
2|0:15,59,82,84,165,240,300,305,333,343;1:166,1145,1167,1343,2733;
5|0:15,84,165,177,178,240,276,333,350;1:132,177,629,1575,2512;
issn|0:15,84,165,240,333;
2394|0:15,84,165,240,333;
9333|0:15,84,165,240,333;
ijtrd|0:16,17,18,85,86,87,166,167,168,241,242,243,334,335,336;
sep|0:17,86,167,242,335;
oct|0:17,86,167,242,335;1:737,2026;
avail|0:18,87,168,243,336;1:536,2230,2296,2725;
onlin|0:18,87,168,243,336;1:156,160,643,651,1410,1444,1603,1832,1835,1837,2222,2262,2275;
126|0:18,281;
benaiah|0:20;
deva|0:20;
kumar|0:20,343;
1scholar|0:21;
2assist|0:21;
professor|0:21;1:329;
depart|0:22;1:106,221,640,1984,1985,1986;
india|0:22;
abstract|0:23;1:1066,1067,1182;
becom|0:23,105,322,329,331;1:257,532,1206,1298,1378,1548,1560,1690,1787,1912,2318,2445;
increasingli|0:24,330;
ubiquit|0:24;
today|0:24,297;1:218,222,226,300,450,864,937,943,1007,1553,1805,2023,2217,2395,2455,2468,2692;
world|0:24,251;1:17,42,153,166,175,204,232,233,235,239,245,247,248,249,250,251,253,257,330,441,497,516,556,658,716,716,865,882,968,1060,1276,1419,1512,1768,1779,1855,1865,1869,1896,1902,2366;
much|0:25,322;1:166,261,293,356,362,480,528,580,583,596,677,770,874,924,1111,1140,1158,1174,1290,1427,1520,1544,1558,1737,1790,1815,1859,1952,2037,2077,2110,2122,2126,2163,2164,2171,2172,2175,2198,2215,2216,2221,2242,2308,2449,2505,2506,2508;
than|0:25,37,75,92,124;1:27,56,148,152,162,163,164,188,194,248,267,308,326,360,377,451,502,518,524,568,609,627,703,769,771,795,886,997,998,1017,1110,1117,1184,1240,1241,1270,1284,1305,1346,1348,1368,1404,1492,1508,1555,1613,1699,1700,1704,1708,1739,1741,1809,1851,1859,1877,1998,2061,2072,2074,2122,2160,2168,2171,2176,2211,2216,2223,2256,2344,2362,2420,2427,2477,2525;
collect|0:25,36,49,60;1:1355,2534;
interconnect|0:26,27,45,60,61,209,290,294;
devic|0:26,58,80,107,145,151,161,163,164,180,182,183,188,198,199,199,208,211;
system|0:27,45,111,290,293,355;1:872,1077,1481,1757,2040;
purpos|0:27,299,305,306;1:1923;
share|0:28,53,58,79,80,91,128,145,221;1:164,184,452,631,649,651,1820,1852,1854,1858,1875,2443,2443,2673,2676,2679;
digit|0:28;1:961;
inform|0:28,30,37,54,55,62,341;1:302,1183,1821,1869,2271,2278,2562,2673,2728;
enabl|0:29,36,344;
analyz|0:29;1:1548;
organ|0:29,292;1:30,536,730,2673;
dissemin|0:29,37;
essenti|0:30,274;1:889;
profit|0:30;1:150,159,170,350,388,665,667,669,671,675,987,1570;
rise|0:30;
intranet|0:31,32,35,36,39;1:163;
internet|0:31,32,33,45,67,262,265,274;1:167,168,414;
import|0:31,135;1:311,402,485,734,890,1092,1096,1121,1122,1240,1377,1378,1379,1555,1751,1762,1762,1998,2070,2073,2189,2305,2307,2368;
aspect|0:31;1:2049;
privat|0:32,231;
busi|0:33,34,36,38,39;1:22,24,57,146,148,149,158,162,165,181,192,194,201,202,204,206,207,214,217,218,225,257,258,259,274,286,291,291,324,332,339,340,342,349,350,386,387,389,392,412,415,429,488,509,514,569,594,596,598,603,605,620,644,656,662,664,667,668,670,671,672,673,674,675,675,676,701,703,705,707,709,716,732,744,745,775,936,970,975,984,1022,1060,1418,1421,1456,1575,1695,1782,1801,1811,1829,1854,1855,1855,1859,1864,1865,1873,1874,1882,1896,1947,1995,1996,1997,2050,2075,2172,2366,2458,2474,2519,2524,2552,2575,2651,2673,2720;
base|0:33;1:147,147,690,770,909,1431,1685,2116,2686;
technolog|0:34,124,230,324,331,344;1:219,724,932,2221;
current|0:34;1:919,1689,1691,2157;
implement|0:34,38,75,124;1:871,1216;
breakneck|0:35;
pace|0:35;
reason|0:35;1:74,217,370,844,895,1090,1141,1772,1791;
onli|0:35,95,97,123,161,175,272;1:237,328,358,385,475,607,650,693,773,783,840,890,1062,1153,1195,1237,1272,1328,1332,1379,1506,1537,1986,2101,2152,2225,2242,2316,2316,2387,2420,2517,2540,2576,2601,2602,2612;
manag|0:36,309;1:117,155,160,161,708,2037,2192,2193,2195,2205,2254,2429,2492,2667,2733;
quickli|0:37;1:461,606,731,733,1206,1286,1370,1545,1959,2307,2318,2509;
easili|0:37;1:219,728,869,1974;
ever|0:38;1:339,714,758,1094,1158,1204,1808,2017,2310,2417;
befor|0:38;1:279,302,303,312,626,683,786,875,1032,1034,1101,1110,1123,1130,1152,1776,1778,1780,1790,1977,2013,2038,2043,2281,2362,2415,2493,2612;
mani|0:38;1:287,336,528,528,692,915,963,970,1083,1588,1725,1735,1865,1957,1978,2048,2060,2314;
simpli|0:39,57;1:820,903,1051,1370,2550;
remain|0:39;1:150,1313;
competit|0:39,40;1:88,99,185,188,524,1498,1510,1522,1544,1545,1551,1564,1825,1856;
delay|0:40,130;1:832,875,1323;
like|0:40;1:102,275,308,728,863,877,1250,1255,1473,1701,1895,2384,2427,2572;
outdist|0:40;
them|0:41,58;1:191,208,217,245,245,293,346,346,364,388,391,463,463,527,573,602,652,733,766,791,797,894,897,943,943,1020,1021,1021,1042,1072,1177,1282,1319,1351,1370,1459,1500,1508,1537,1583,1591,1600,1611,1699,1725,1726,1726,1759,1768,1828,1830,1838,1846,1862,1873,1890,1925,1928,1971,1977,2068,2110,2194,2198,2245,2245,2248,2317,2342,2351,2352,2359,2423,2424,2424,2484,2526,2547,2548,2556,2582,2599;
present|0:41,316;1:1877,2555,2654;
basic|0:41,228,346;1:834,1702,1702,1745;
concept|0:42,346;1:236,240,1182,2460;
keyword|0:43;
peer|0:43,43,71,71,73,73,74,74,77,83,83;
client|0:43,72,88,89,95,97,99;1:157,778,2667;
server|0:43,67,72,88,89,90,92,93,96,99,147;1:650,2041;
inter|0:43;
intra|0:44;
commun|0:44,47,56,78,105,208,221,223,253,254,310,314,321;1:1172,1175,1989,2120,2178,2212,2217,2549,2568,2577;
medium|0:44,123,255;1:1474;
protocol|0:45,56,262,265,302,303;
open|0:45,290,293,355;1:329,643,812,1034,1041,1342,1604,1863,2276,2689;
introduct|0:46,348,350;1:38,144,1410,1938,1974;
support|0:47,264,266;1:572,581,641,1466,2010,2039,2042,2042,2314,2373,2395;
two|0:48,53,70,103,220,224,226,234;1:148,179,220,249,334,548,628,630,783,1022,1261,1263,1265,1271,1278,1284,1286,1334,1374,1398,2232,2282,2596,2629,2632;
program|0:48;1:165,584,779,866,1885;
run|0:48,129,232;1:145,193,203,348,349,416,417,429,455,546,548,596,610,666,703,768,775,778,1456,1723,1776,1817,2186,2201,2550;
physic|0:48,133,134,144,145,307;1:662,716,723;
distant|0:48;
machin|0:49,239;1:2632;
some|0:50,121,169,248;1:167,172,221,386,483,520,530,540,553,562,581,693,794,796,819,874,1092,1316,1317,1404,1462,1518,1693,1699,1749,1777,1803,1943,1943,1943,2018,2067,2067,2133,2153,2153,2165,2202,2242,2294,2314,2323,2363,2500,2582,2698;
way|0:50,57;1:22,148,152,247,331,342,366,381,426,430,626,635,661,727,736,784,816,830,866,892,923,1022,1025,1038,1044,1116,1117,1117,1162,1171,1176,1225,1227,1241,1249,1254,1272,1303,1339,1362,1371,1379,1395,1424,1429,1429,1429,1435,1441,1442,1461,1471,1496,1555,1559,1611,1683,1816,1911,1927,1974,2032,2043,2046,2047,2101,2107,2114,2115,2121,2164,2232,2245,2296,2300,2316,2327,2328,2329,2336,2354,2360,2370,2375,2379,2385,2387,2410,2410,2412,2427,2466,2517,2521,2555,2563,2565,2577,2612,2632,2685,2699;
connect|0:50,53,64,66,81,83,98,104,127,145,152,160,182,197,207,213,217,220,224,226,239,245,250,266,301,303;1:1838,2386;
such|0:50,58,80,121,233,237;1:487,1884,2409,2484;
can|0:51,62,63,79,80,97,113,126,134,175,184,217,268,275,324;1:23,36,171,174,178,179,184,186,187,188,218,220,225,227,248,249,251,261,264,265,266,267,272,289,292,313,337,368,423,460,538,552,599,608,630,631,633,637,639,640,641,643,644,654,661,681,727,730,731,733,733,734,760,774,786,790,791,797,818,821,822,824,840,847,855,861,861,869,873,891,897,952,957,976,978,979,983,989,990,1020,1066,1068,1110,1112,1120,1122,1154,1165,1167,1176,1220,1230,1242,1243,1247,1254,1265,1271,1273,1280,1285,1287,1291,1291,1297,1322,1335,1335,1366,1369,1371,1386,1391,1392,1394,1402,1414,1417,1419,1432,1443,1457,1467,1477,1488,1490,1492,1506,1506,1518,1554,1557,1565,1587,1604,1699,1707,1725,1751,1791,1800,1826,1826,1826,1840,1841,1842,1842,1842,1843,1861,1868,1876,1897,1953,1959,1970,2014,2016,2046,2046,2055,2059,2061,2062,2099,2109,2110,2121,2133,2143,2163,2183,2200,2213,2243,2249,2273,2273,2294,2307,2308,2321,2321,2323,2346,2360,2370,2390,2400,2401,2449,2459,2467,2475,2493,2517,2566,2576,2586,2586,2586,2587,2587,2588,2589,2589,2600,2607,2628,2629,2632,2727;
exchang|0:51,55,62;
data|0:51,58,109,175,210,244,309;1:2729;
themselv|0:51;1:216,388,389,766,776,893,2196,2196,2213;
other|0:51,67,78,94,97,97,104,121,185,189,199,223,232,248,264,268,317;1:160,172,178,242,262,262,264,265,265,266,329,502,505,522,530,596,599,609,610,635,661,772,971,1125,1131,1167,1279,1284,1445,1470,1492,1560,1574,1773,1851,1889,1913,1934,1978,2051,2127,2153,2185,2186,2201,2234,2255,2358,2368,2381,2500,2507,2590,2592,2597,2661;
creat|0:52;1:18,128,156,360,366,367,391,426,431,477,485,558,569,785,865,917,1007,1067,1744,1982,2109,2270,2437,2441,2478,2496,2497,2530,2536,2537,2539,2579,2616,2679,2689,2727;
resourc|0:54,129,328;1:139,755,782,792,1121,1242,2641;
set|0:54;1:664,732,964,1165,1166,1193,1210,1446,1456,1529,1549,1564,1887,2041,2195,2197,2200,2506,2536;
common|0:55,106,133,135,145,269,287;1:268,491,1095;
convent|0:55;1:1499;
call|0:55,108,147,183;1:65,165,171,172,290,391,433,541,625,660,851,863,878,926,1001,1035,1151,1173,1176,1387,1449,1476,1919,1941,2274,2305,2315;
over|0:56,330;1:330,337,356,361,536,536,620,620,699,958,970,1036,1041,1128,1162,1210,1237,1342,1348,1348,1611,1751,1758,1758,1809,1866,1904,2022,2048,2215,2342,2540,2541;
media|0:56;1:1751;
wire|0:57,150,159,245,252,257,307;1:183,1960;
togeth|0:57;1:1146,1208,2222,2235,2599,2693;
let|0:58;1:21,92,197,229,294,384,391,391,427,469,506,671,700,709,855,855,1017,1132,1171,1197,1226,1233,1256,1262,1266,1271,1477,1597,1681,1701,1724,1777,1890,1923,1977,2148,2323,2338,2423,2423,2424,2425,2516,2592,2638;
hard|0:58;1:27,204,341,523,792,1108,1119,1306,1383,1383,1594,2011,2462;
drive|0:59;1:120,295,967,1246,1462,1505,1977,2241;
cd|0:59;
rom|0:59;
fax|0:59;
modem|0:59,223;
printer|0:59,81;
etc|0:59;1:288,345,617,818,868,1374,1888,2085,2136,2196,2544,2555;
autonom|0:61,63;
