2
see|0:0,36,169,1132;1:747,989,1791,2301,2750,3333,4199,4777,5192,5620,6033,6103,6142,6148,6705,7538,8202,8432,9083,9578,10200,10707,11275,11304,11838,11869,11876,12987,13925,14146,14214,14226,14231,14235,15046,15413|2.4721,22.2492|1.0000
discuss|0:1;1:12013,12771,14168,15231,16449|0.6180,3.0902|1.0000
stat|0:2,1631;1:1302|1.2361,0.6180|1.0000
author|0:3,23;1:101,110,154,177,195,210,214,229,11974|1.2361,5.5623|1.0000
profil|0:4,37;1:12340|1.2361,0.6180|1.0000
public|0:5,9,33,1071,1630;1:12261,12331,12361,14417,14490,15453,17175|3.0902,4.3262|1.0000
http|0:6|0.6180|2.0000
researchg|0:7|0.6180|2.0000
net|0:8,1620|1.2361|2.0000
317101504|0:10|0.6180|2.0000
comput|0:11,72,92,99,106,110,115,129,204,207,217,222,228,238,241,260,265,269,275,281,296,332,338,354,364,369,405,420,426,429,444,449,458,466,469,481,573,649,673,1025,1031,1096,1099,1104,1455,1563,1574,1588,1600;1:656,9869|30.2837,1.2361|1.0000
network|0:12,73,93,100,107,116,130,135,177,184,186,195,205,218,219,239,261,283,288,293,305,312,316,319,322,325,353,355,373,397,400,403,413,423,431,453,457,459,477,483,495,502,503,516,520,524,527,530,642,674,821,846,854,864,898,904,913,921,950,967,970,981,984,987,1005,1036,1046,1049,1052,1075,1094,1142,1275,1333,1354,1360,1374,1395,1416,1429,1435,1452,1461,1476,1483,1564,1575,1583,1589,1601,1608;1:11810|56.2411,0.6180|1.0000
survey|0:13,74|1.2361|2.0000
articl|0:14,173;1:8355,12359,14335|1.2361,1.8541|1.0000
septemb|0:15,1576|1.2361|2.0000
2015|0:16,67,390,749,1125,1525,1596|4.3262|2.0000
citat|0:17,35|1.2361|2.0000
4|0:18,302,374,454,499,694,696,1239,1242,1579|6.1803|2.0000
read|0:19;1:13,3415,6211,6629,6676,6695,8352,9192,9194,12190,14315,15980,16196,16354,16362,16394,16819|0.6180,10.5066|1.0000
50|0:20;1:3775|0.6180,0.6180|1.0000
284|0:21|0.6180|2.0000
1|0:22,285,601,1288,1290,1321,1531,1591;1:4223,4224,4226,4517,4518,6200,6206,6560,6607,8768,17187|4.9443,6.7984|1.0000
deepa|0:24,42,78|1.8541|2.0000
balasubramaniam|0:25,43|1.2361|2.0000
sri|0:26,83|1.2361|2.0000
krishna|0:27,84|1.2361|2.0000
art|0:28,86;1:3339,5409,9064,9084|1.2361,2.4721|1.0000
scienc|0:29,87|1.2361|2.0000
colleg|0:30,85,88;1:13593,13644,13753,13763,14326|1.8541,3.0902|1.0000
coimbator|0:31,89|1.2361|2.0000
16|0:32,1595|1.2361|2.0000
36|0:34|0.6180|2.0000
content|0:38;1:2559,6046,10158,13709,17001|0.6180,3.0902|1.0000
follow|0:39,461,1251;1:1407,1668,2427,5744,9219,9477,9740|1.8541,4.3262|1.0000
page|0:40;1:7,61,773,1615,2340,4882,13702|0.6180,4.3262|1.0000
upload|0:41|0.6180|2.0000
25|0:44|0.6180|2.0000
may|0:45,594,974,1616;1:929,1196,1664,2082,3511,3566,4986,6365,7191,7801,9987,10387,10848,10857,11305,12676,12896,13474,14689,14829,14896,14898,14929,15366,15421,15703,16331,16393|2.4721,17.3050|1.0000
2017|0:46|0.6180|2.0000
user|0:47,1106|1.2361|2.0000
request|0:48;1:10374,10449,10938,10965,16652,16675|0.6180,3.7082|1.0000
enhanc|0:49|0.6180|2.0000
download|0:50|0.6180|2.0000
file|0:51,349,410;1:1622,10936,16928|1.8541,1.8541|1.0000
intern|0:52,375,734,1110,1342,1510;1:8585,13499|3.7082,1.2361|1.0000
journal|0:53,376,735,1111,1511;1:400,4514,12219,12230,14329|3.0902,3.0902|1.0000
trend|0:54,377,736,1112,1512;1:5746|3.0902,0.6180|1.0000
research|0:55,378,737,1113,1513;1:13359,14753|3.0902,1.2361|1.0000
develop|0:56,379,738,1114,1216,1514;1:3401,5386,8399,11883,15574,15813|3.7082,3.7082|1.0000
volum|0:57,380,739,1115,1515|3.0902|2.0000
2|0:58,259,366,381,740,1116,1384,1408,1516,1559;1:665,7176,7352,8593,17190|6.1803,3.0902|1.0000
5|0:59,382,741,803,805,1117,1279,1517,1584;1:473,738,3777,10154,15994|5.5623,3.0902|1.0000
issn|0:60,383,742,1118,1518|3.0902|2.0000
2394|0:61,384,743,1119,1519|3.0902|2.0000
9333|0:62,385,744,1120,1520|3.0902|2.0000
ijtrd|0:63,64,70,386,387,393,745,746,752,1121,1122,1128,1521,1522,1528|9.2705|2.0000
sep|0:65,388,747,1123,1523|3.0902|2.0000
oct|0:66,389,748,1124,1524;1:4463,12783|3.0902,1.2361|1.0000
avail|0:68,391,750,1126,1526;1:3151,14116,14573,17143|3.0902,2.4721|1.0000
onlin|0:69,392,751,1127,1527;1:580,602,3869,3924,9070,9288,10334,11444,11468,11492,14050,14333,14408|3.0902,8.0344|1.0000
126|0:71,1299|1.2361|2.0000
benaiah|0:75|0.6180|2.0000
deva|0:76|0.6180|2.0000
kumar|0:77,1561|1.2361|2.0000
1scholar|0:79|0.6180|2.0000
2assist|0:80|0.6180|2.0000
professor|0:81;1:1745|0.6180,0.6180|1.0000
depart|0:82;1:406,1039,3846,12498,12500,12510|0.6180,3.7082|1.0000
india|0:90|0.6180|2.0000
abstract|0:91;1:6665,6667,7468|0.6180,1.8541|1.0000
